auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold
0.3208333333333333,0.2637209492180702,0.2140981706941838,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),3,4
0.7583333333333333,0.5285560762766646,0.196372892858949,0.7647058823529411,0.7166666666666667,0.6,0.43333333333333335,0.6,0.8333333333333334,0.6,0.8333333333333334,Elastic-Net Logistic,3,5
0.75,0.5196602119108513,0.17866397893102245,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,3,5
0.6375000000000001,0.4222059966177613,0.22498352825641632,0.5882352941176471,0.5625,0.4166666666666667,0.11572751247156894,0.5,0.625,0.35714285714285715,0.75,XGBoost,3,5
0.5958333333333333,0.39113416377935434,0.21409683498917748,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,Random Forest,3,5
0.6125,0.3808328385552993,0.2336461025137384,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Logistic Regression (L2),3,5
0.5666666666666667,0.43163402229578696,0.21019458636254407,0.6764705882352942,0.5083333333333333,0.15384615384615385,0.026773977630083295,0.1,0.9166666666666666,0.3333333333333333,0.7096774193548387,SVM (RBF),3,5
0.864,0.6821146245059287,0.22167495677200202,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,Elastic-Net Logistic,4,1
0.804,0.527536231884058,0.1732973399209736,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,4,1
0.8160000000000001,0.562703081232493,0.17848306894302368,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,4,1
0.8240000000000001,0.5489663552821448,0.16925642961169043,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Random Forest,4,1
0.648,0.5050992063492064,0.24359422700706393,0.6285714285714286,0.62,0.48,0.21908902300206642,0.6,0.64,0.4,0.8,Logistic Regression (L2),4,1
0.7680000000000001,0.6013394448688566,0.1779739558815894,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),4,1
0.73125,0.5628855428197533,0.22642066213837184,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Elastic-Net Logistic,4,2
0.73125,0.44866140395552156,0.18437082376887992,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,4,2
0.675,0.5155319499341239,0.19224369525909424,0.7058823529411765,0.5583333333333333,0.2857142857142857,0.1649915822768611,0.2,0.9166666666666666,0.5,0.7333333333333333,XGBoost,4,2
0.675,0.436563904874601,0.19856653745123842,0.7058823529411765,0.6166666666666667,0.4444444444444444,0.25064020591380154,0.4,0.8333333333333334,0.5,0.7692307692307693,Random Forest,4,2
0.7208333333333333,0.6478461634983375,0.2382558357770101,0.7058823529411765,0.675,0.5454545454545454,0.3337119062359573,0.6,0.75,0.5,0.8181818181818182,Logistic Regression (L2),4,2
0.5125,0.40866231488034555,0.21110552363633542,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),4,2
0.8729166666666667,0.7401388888888889,0.22449974124553612,0.7647058823529411,0.8041666666666667,0.6923076923076923,0.5553298152482934,0.9,0.7083333333333334,0.5625,0.9444444444444444,Elastic-Net Logistic,4,3
