model,imputation,fold,best_inner_auc,best_params
Extra Trees,3,5,0.6966,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),3,5,0.6376,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,3,5,0.7047,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,3,5,0.6949,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,3,5,0.6922,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),4,1,0.671,"{""model__C"": ""0.001""}"
Elastic-Net Logistic,4,1,0.7947,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,4,1,0.7063,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,4,1,0.6865,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),4,1,0.6107,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,4,1,0.7764,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,4,1,0.7234,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,4,1,0.7216,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),4,2,0.6859,"{""model__C"": ""0.001""}"
Elastic-Net Logistic,4,2,0.826,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,4,2,0.7034,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,4,2,0.745,"{""model__n_estimators"": ""600"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),4,2,0.7061,"{""model__C"": ""0.1"", ""model__gamma"": ""0.03""}"
AdaBoost,4,2,0.7723,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,4,2,0.7161,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,4,2,0.7221,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),4,3,0.6718,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,4,3,0.7859,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,4,3,0.7103,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""3""}"
Extra Trees,4,3,0.7112,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),4,3,0.6649,"{""model__C"": ""0.1"", ""model__gamma"": ""0.01""}"
AdaBoost,4,3,0.7639,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,4,3,0.7099,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
LightGBM,4,3,0.7111,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.7"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),4,4,0.6415,"{""model__C"": ""10""}"
Elastic-Net Logistic,4,4,0.7953,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,4,4,0.7239,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,4,4,0.6952,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
