auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold,n_test,fit_seconds
0.78,0.6117990832696715,0.17345704230469974,0.7428571428571429,0.64,0.47058823529411764,0.31622776601683794,0.4,0.88,0.5714285714285714,0.7857142857142857,Extra Trees,4,1,35,16.38
0.7600000000000001,0.5941599576893695,0.17811929899777548,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),4,1,35,24.77
0.804,0.527536231884058,0.1732973399209736,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,4,1,35,15.07
0.8160000000000001,0.562703081232493,0.17848306894302368,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,4,1,35,11.06
0.832,0.5857682595182596,0.16072820194877568,0.7428571428571429,0.6699999999999999,0.5263157894736842,0.3514317480027573,0.5,0.84,0.5555555555555556,0.8076923076923077,LightGBM,4,1,35,11.18
0.7208333333333333,0.6478461634983375,0.2339263074316141,0.7058823529411765,0.675,0.5454545454545454,0.3337119062359573,0.6,0.75,0.5,0.8181818181818182,Logistic Regression (L2),4,2,34,6.95
0.73125,0.5628855428197533,0.2264206621383826,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Elastic-Net Logistic,4,2,34,8.04
0.675,0.436563904874601,0.19856653745123842,0.7058823529411765,0.6166666666666667,0.4444444444444444,0.25064020591380154,0.4,0.8333333333333334,0.5,0.7692307692307693,Random Forest,4,2,34,19.13
0.7000000000000001,0.5033491070333176,0.1946175801069631,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,Extra Trees,4,2,34,14.88
0.5125,0.40866231488034555,0.21110552363532897,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),4,2,34,24.36
0.73125,0.44866140395552156,0.18437082376887992,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,4,2,34,15.41
0.675,0.5155319499341239,0.19224369525909424,0.7058823529411765,0.5583333333333333,0.2857142857142857,0.1649915822768611,0.2,0.9166666666666666,0.5,0.7333333333333333,XGBoost,4,2,34,11.78
0.65,0.4977187286397813,0.2239871442723163,0.6470588235294118,0.6333333333333333,0.5,0.24688535993934707,0.6,0.6666666666666666,0.42857142857142855,0.8,LightGBM,4,2,34,11.12
0.8583333333333334,0.6398717948717949,0.2107517488969811,0.8235294117647058,0.8458333333333333,0.75,0.6403589023426814,0.9,0.7916666666666666,0.6428571428571429,0.95,Logistic Regression (L2),4,3,34,7.28
0.8729166666666667,0.7401388888888889,0.22446219100166984,0.7647058823529411,0.8041666666666667,0.6923076923076923,0.5553298152482934,0.9,0.7083333333333334,0.5625,0.9444444444444444,Elastic-Net Logistic,4,3,34,7.91
0.775,0.5885647685647685,0.176991416490498,0.7058823529411765,0.675,0.5454545454545454,0.3337119062359573,0.6,0.75,0.5,0.8181818181818182,Random Forest,4,3,34,19.08
